X1	X2	value
1	LRBM1P14	LRBM1P14	NA
2	LRBM1P15	LRBM1P14	0.114054451802796
3	LRBM1P16	LRBM1P14	0.139072847682119
4	LRBM1P25	LRBM1P14	0.146431199411332
5	LRBM1P27	LRBM1P14	0.144714250674516
6	LRBM1P28	LRBM1P14	0.134903115035565
7	LRBM1P3	LRBM1P14	0.131714495952907
8	LRBM1P4	LRBM1P14	0.144959529065489
9	LRBM1P5	LRBM1P14	0.131101299975472
10	LRBM1P6	LRBM1P14	0.145450085847437
11	LRBM2P1	LRBM1P14	0.161638459651705
12	LRBM2P12	LRBM1P14	0.141035074809909
13	LRBM2P13	LRBM1P14	0.141035074809909
14	LRBM2P14	LRBM1P14	0.141280353200883
15	LRBM2P15	LRBM1P14	0.115158204562178
16	LRBM2P2	LRBM1P14	0.231910718665686
17	LRBM2P24	LRBM1P14	0.138704930095659
18	LRBM2P25	LRBM1P14	0.130610743193525
19	LRBM2P26	LRBM1P14	0.136129506990434
20	LRBM2P27_r	LRBM1P14	0.13355408388521
21	LRBM2P3	LRBM1P14	0.137355898945303
22	LRBO10	LRBM1P14	0.186534216335541
23	LRBO11	LRBM1P14	0.186411577140054
24	LRBO12	LRBM1P14	0.187515329899436
25	LRBO13	LRBM1P14	0.158449840569046
26	LRBO2_r	LRBM1P14	0.167893058621535
27	LRBO20	LRBM1P14	0.197081187147412
28	LRBO22	LRBM1P14	0.19560951680157
29	LRBO23	LRBM1P14	0.194751042433162
30	LRBO24	LRBM1P14	0.189845474613687
31	LRBO25	LRBM1P14	0.189109639440765
32	LRBO9	LRBM1P14	0.27336276674025
33	LRLC1	LRBM1P14	0.12570517537405
34	LRLC13	LRBM1P14	0.146431199411332
35	LRLC14	LRBM1P14	0.140912435614422
36	LRLC15	LRBM1P14	0.151827324012754
37	LRLC16	LRBM1P14	0.154648025508953
38	LRLC18	LRBM1P14	0.209958302673534
39	LRLC19	LRBM1P14	0.12962962962963
40	LRLC2	LRBM1P14	0.148516065734609
41	LRLC4	LRBM1P14	0.139931322050527
42	LRLC5	LRBM1P14	0.141770909982831
43	LRLC6	LRBM1P14	0.139563404464067
44	LRBM1P14	LRBM1P15	0.114054451802796
45	LRBM1P15	LRBM1P15	NA
46	LRBM1P16	LRBM1P15	0.133308805494236
47	LRBM1P25	LRBM1P15	0.142997301937699
48	LRBM1P27	LRBM1P15	0.135638950208487
49	LRBM1P28	LRBM1P15	0.128648516065735
50	LRBM1P3	LRBM1P15	0.121535442727496
51	LRBM1P4	LRBM1P15	0.13195977434388
52	LRBM1P5	LRBM1P15	0.132572970321315
53	LRBM1P6	LRBM1P15	0.108903605592347
54	LRBM2P1	LRBM1P15	0.14532744665195
55	LRBM2P12	LRBM1P15	0.137723816531764
56	LRBM2P13	LRBM1P15	0.138582290900172
57	LRBM2P14	LRBM1P15	0.138582290900172
58	LRBM2P15	LRBM1P15	0.112950699043414
59	LRBM2P2	LRBM1P15	0.231542801079225
60	LRBM2P24	LRBM1P15	0.130365464802551
61	LRBM2P25	LRBM1P15	0.13159185675742
62	LRBM2P26	LRBM1P15	0.127544763306353
63	LRBM2P27_r	LRBM1P15	0.136987981358842
64	LRBM2P3	LRBM1P15	0.130856021584498
65	LRBO10	LRBM1P15	0.173043904831984
66	LRBO11	LRBM1P15	0.173289183222958
67	LRBO12	LRBM1P15	0.175251410350748
68	LRBO13	LRBM1P15	0.150233014471425
69	LRBO2_r	LRBM1P15	0.156978170223203
70	LRBO20	LRBM1P15	0.186043659553593
71	LRBO22	LRBM1P15	0.184449350012264
72	LRBO23	LRBM1P15	0.183958793230316
73	LRBO24	LRBM1P15	0.176968359087564
74	LRBO25	LRBM1P15	0.175374049546235
75	LRBO9	LRBM1P15	0.262202599950944
76	LRLC1	LRBM1P15	0.123497669855286
77	LRLC13	LRBM1P15	0.14728967377974
78	LRLC14	LRBM1P15	0.145695364238411
79	LRLC15	LRBM1P15	0.151704684817268
80	LRLC16	LRBM1P15	0.143733137110621
81	LRLC18	LRBM1P15	0.202477311748835
82	LRLC19	LRBM1P15	0.128525876870248
83	LRLC2	LRBM1P15	0.149497179298504
84	LRLC4	LRBM1P15	0.138704930095659
85	LRLC5	LRBM1P15	0.140667157223449
86	LRLC6	LRBM1P15	0.13980868285504
87	LRBM1P14	LRBM1P16	0.139072847682119
88	LRBM1P15	LRBM1P16	0.133308805494236
89	LRBM1P16	LRBM1P16	NA
90	LRBM1P25	LRBM1P16	0.133186166298749
91	LRBM1P27	LRBM1P16	0.0753004660289428
92	LRBM1P28	LRBM1P16	0.10878096639686
93	LRBM1P3	LRBM1P16	0.134903115035565
94	LRBM1P4	LRBM1P16	0.160412067696836
95	LRBM1P5	LRBM1P16	0.130488103998038
96	LRBM1P6	LRBM1P16	0.141893549178317
97	LRBM2P1	LRBM1P16	0.158327201373559
98	LRBM2P12	LRBM1P16	0.142138827569291
99	LRBM2P13	LRBM1P16	0.142874662742212
100	LRBM2P14	LRBM1P16	0.142384105960265
101	LRBM2P15	LRBM1P16	0.110865832720137
102	LRBM2P2	LRBM1P16	0.22663723325975
103	LRBM2P24	LRBM1P16	0.133799362276183
104	LRBM2P25	LRBM1P16	0.129506990434143
105	LRBM2P26	LRBM1P16	0.123620309050773
106	LRBM2P27_r	LRBM1P16	0.139931322050527
107	LRBM2P3	LRBM1P16	0.138214373313711
108	LRBO10	LRBM1P16	0.178685307824381
109	LRBO11	LRBM1P16	0.178930586215354
110	LRBO12	LRBM1P16	0.180034338974736
111	LRBO13	LRBM1P16	0.151091488839833
112	LRBO2_r	LRBM1P16	0.160902624478783
113	LRBO20	LRBM1P16	0.194505764042188
114	LRBO22	LRBM1P16	0.192788815305372
115	LRBO23	LRBM1P16	0.192298258523424
116	LRBO24	LRBM1P16	0.182119205298013
117	LRBO25	LRBM1P16	0.181260730929605
118	LRBO9	LRBM1P16	0.266127054206524
119	LRLC1	LRBM1P16	0.118101545253863
120	LRLC13	LRBM1P16	0.143119941133186
121	LRLC14	LRBM1P16	0.144468972283542
122	LRLC15	LRBM1P16	0.148883983321069
123	LRLC16	LRBM1P16	0.148761344125583
124	LRLC18	LRBM1P16	0.205052734854059
125	LRLC19	LRBM1P16	0.129506990434143
126	LRLC2	LRBM1P16	0.145450085847437
